Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
2619.0,,New York,Steve,+918888800004,,+220,4678042099,Outgoing,2 mins 17 secs,2021-02-22,08:07 AM,And candidate per.,CUST2619,3.0,24 mins 48 secs,,12 mins 52 secs,,,5.0,2.0,Busy,Support,Australia,Neutral,Support,Yes
2620.0,FB002,Mumbai,Ankur Garde,+918888800002,Bonnie Robinson,+592,+1-431-995-9847x45799,Outgoing,5 mins 38 secs,,07:10 PM,Six newspaper effort.,CUST2620,2.0,8 mins 116 secs,0.0,0 mins 0 secs,0.0,0.0,2.0,,No Answer,Feedback,Asia,Dissatisfied,Support,No
2621.0,FB008,New York,Steve,+918888800004,Lawrence Palmer,+226,787-376-3459,,,2023-02-23,02:17 AM,City explain explain amount treatment drive.,CUST2621,,,0.0,,1.0,1.0,0.0,3.0,,,North America,Neutral,Support,No
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Ashley Roberts,+683,+1-587-834-3917x795,Outgoing,14 mins 52 secs,2024-06-25,02:33 PM,,CUST2622,,10 mins 210 secs,1.0,1 mins 41 secs,1.0,1.0,5.0,,,,North America,Neutral,Sales,Yes
2623.0,FB002,Mumbai,Ankur Garde,+918888800002,John Hunter,+227,+1-341-953-9929x45688,Outgoing,11 mins 52 secs,2024-05-20,11:16 AM,,CUST2623,,4 mins 12 secs,1.0,19 mins 53 secs,1.0,1.0,,,No Answer,,,Dissatisfied,Support,No
2624.0,FB008,New York,Steve,+918888800004,Gregory Wilson,+222,998-257-8870x760,Outgoing,20 mins 49 secs,2022-03-21,07:39 PM,Product fact many sit we.,CUST2624,0.0,,3.0,,2.0,2.0,0.0,3.0,,Support,Europe,Neutral,Support,No
2625.0,FB003,Pune,,,,+45,+1-908-504-3719x48003,Incoming,11 mins 31 secs,2021-06-06,,Area necessary lawyer toward.,CUST2625,4.0,8 mins 4 secs,3.0,6 mins 90 secs,1.0,2.0,4.0,3.0,Busy,Support,,Dissatisfied,Sales,Yes
2626.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Raymond Campbell,+591,001-707-563-3621x04322,Outgoing,,2021-04-09,04:28 AM,Treat whether safe democratic where.,CUST2626,0.0,0 mins 0 secs,2.0,2 mins 78 secs,1.0,1.0,0.0,2.0,Failed,,,Neutral,,No
2627.0,FB008,New York,Steve,+918888800004,Dylan Miller,+1 809,,Incoming,18 mins 9 secs,2024-08-02,10:45 PM,Customer ask gun or cover glass.,CUST2627,,75 mins 135 secs,4.0,20 mins 0 secs,2.0,0.0,2.0,7.0,Failed,Support,Australia,Dissatisfied,Support,
2628.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Amanda Garza,+31,+1-835-359-9245x2255,Incoming,,2024-04-06,,Section resource sense professor today.,CUST2628,3.0,48 mins 129 secs,2.0,24 mins 0 secs,2.0,,1.0,4.0,Failed,Inquiry,Europe,,Sales,No
2629.0,,Nagpur,Aniruddha Kalbande,+918888800001,Michael Moss,+266,+1-540-878-7133x78919,Incoming,19 mins 31 secs,2024-07-03,11:17 PM,Say company include.,CUST2629,0.0,0 mins 0 secs,1.0,9 mins 9 secs,1.0,2.0,0.0,1.0,Failed,,Australia,Dissatisfied,,
2630.0,,Nagpur,Aniruddha Kalbande,+918888800001,Mrs. Jennifer Flores MD,+246,819-313-4047x58451,Incoming,18 mins 54 secs,,02:49 PM,Family machine only reach contain person.,CUST2630,5.0,40 mins 210 secs,2.0,12 mins 96 secs,2.0,1.0,1.0,6.0,,Follow-up,Europe,,,
,,New York,Steve,+918888800004,,+231,+1-931-294-1078,,1 mins 17 secs,,05:18 PM,,CUST2631,5.0,45 mins 50 secs,2.0,26 mins 22 secs,1.0,1.0,2.0,5.0,No Answer,,Africa,,Support,Yes
2632.0,FB015,New York,Rachel,+918888800005,,+7 6,664-395-6916x903,,11 mins 29 secs,2021-04-12,01:28 AM,Election must change data candidate late music score.,CUST2632,2.0,,2.0,34 mins 52 secs,1.0,,2.0,2.0,Failed,Inquiry,Europe,Neutral,Sales,Yes
2633.0,FB015,New York,Rachel,+918888800005,Kimberly Flores,,904.395.9102,Outgoing,20 mins 41 secs,2023-02-09,,Simply often approach wait.,CUST2633,4.0,56 mins 212 secs,3.0,60 mins 18 secs,1.0,0.0,,0.0,Completed,Sales,,Satisfied,Sales,
,FB008,New York,Steve,+918888800004,Joe May,,,Incoming,5 mins 26 secs,2021-10-13,06:48 AM,,CUST2634,0.0,0 mins 0 secs,4.0,48 mins 76 secs,1.0,,3.0,,Failed,Sales,Asia,Satisfied,Support,No
2635.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Tony Smith,+95,001-742-700-3798x79757,Incoming,14 mins 24 secs,,09:42 AM,Need become factor very professor deep.,CUST2635,1.0,,2.0,36 mins 98 secs,2.0,,0.0,,,Support,North America,Neutral,Sales,Yes
,FB002,Mumbai,Ankur Garde,,Victor Martinez,+1 849,(348)729-1110,Outgoing,13 mins 40 secs,2020-11-10,03:48 PM,,,1.0,,0.0,0 mins 0 secs,2.0,1.0,0.0,1.0,No Answer,Sales,Australia,,Support,Yes
2637.0,FB008,New York,Steve,,,+880,7428637815,,11 mins 31 secs,2021-04-19,,Local news present hot.,CUST2637,5.0,40 mins 175 secs,1.0,2 mins 37 secs,1.0,1.0,6.0,,Failed,Sales,Europe,Satisfied,,No
2638.0,,Pune,Shubhangi,+918888800003,Michael Miller,+90,712-872-5627x39011,Incoming,,2022-09-22,10:49 PM,Doctor himself about realize country.,CUST2638,,,,,2.0,1.0,,3.0,,Inquiry,Australia,,Sales,No
2639.0,FB015,New York,,+918888800005,Dawn Davis,+675,+1-310-894-1814x969,Incoming,3 mins 34 secs,2024-06-11,05:27 AM,,CUST2639,,,0.0,0 mins 0 secs,0.0,1.0,1.0,0.0,Failed,,North America,Dissatisfied,Sales,No
2640.0,FB008,New York,,+918888800004,Cheryl Perkins,+507,421-718-1951,Outgoing,5 mins 27 secs,,,Over Republican color people year.,CUST2640,3.0,18 mins 54 secs,3.0,51 mins 156 secs,0.0,2.0,3.0,3.0,,Inquiry,North America,Dissatisfied,,Yes
2641.0,FB001,Nagpur,,,Andrew Rubio,,8466821911,Outgoing,12 mins 30 secs,2022-08-31,,Responsibility staff third ball nature.,CUST2641,3.0,6 mins 3 secs,4.0,8 mins 44 secs,0.0,1.0,,5.0,Completed,,Europe,Neutral,Sales,Yes
2642.0,,New York,Rachel,+918888800005,Alicia Kirby,+965,3727394897,,,2023-02-16,07:59 PM,Business suggest else middle main.,CUST2642,3.0,12 mins 99 secs,,0 mins 0 secs,0.0,1.0,2.0,1.0,,Support,Europe,Satisfied,Sales,
,FB001,Nagpur,Aniruddha Kalbande,,Larry Williams,+20,(473)353-0011,Outgoing,6 mins 57 secs,2022-05-04,02:30 PM,Apply question magazine fear quite add scientist half.,,2.0,30 mins 96 secs,2.0,,1.0,0.0,,,Failed,Inquiry,North America,,Sales,Yes
2644.0,FB001,Nagpur,Aniruddha Kalbande,,Jenna Mcguire,+352,771-648-2509x2163,Incoming,,2024-03-25,06:40 PM,,CUST2644,1.0,13 mins 50 secs,4.0,56 mins 208 secs,1.0,,0.0,5.0,Failed,Inquiry,Africa,,Sales,No
,FB008,,Steve,+918888800004,Jessica Cox,+266,,Outgoing,,2023-02-26,01:38 PM,Name natural voice new support.,CUST2645,5.0,,0.0,,0.0,0.0,4.0,1.0,Busy,Feedback,Africa,Neutral,Support,No
,FB015,New York,Rachel,+918888800005,Angela Bartlett,+31,001-868-269-9006,Outgoing,14 mins 3 secs,2021-11-19,04:54 AM,Business coach important model treatment seat reach other.,CUST2646,,4 mins 62 secs,3.0,33 mins 150 secs,,1.0,,0.0,,,Africa,Satisfied,Sales,Yes
,FB002,Mumbai,Ankur Garde,+918888800002,Rhonda Manning,+679,+1-752-936-1762x066,,,2022-06-22,07:51 AM,Policy cup where discussion pattern.,CUST2647,5.0,85 mins 115 secs,2.0,,,0.0,6.0,,Failed,,,Neutral,Support,
,FB015,New York,Rachel,+918888800005,Angela Frazier,+44 1624,2217164696,Outgoing,6 mins 32 secs,2020-12-15,05:18 PM,Compare on really accept resource soon although reach.,CUST2648,4.0,80 mins 220 secs,0.0,0 mins 0 secs,,,2.0,,,Sales,Africa,Neutral,Sales,Yes
2649.0,FB003,,Shubhangi,+918888800003,Trevor Scott,+888,615.775.4724x6060,Incoming,1 mins 41 secs,2023-02-05,09:25 AM,Thought sort condition through listen might practice bill.,CUST2649,,56 mins 148 secs,1.0,1 mins 35 secs,2.0,2.0,4.0,,No Answer,Follow-up,Europe,Satisfied,Sales,
2650.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Michael Herrera,+881 9,+1-422-618-8177x0199,Outgoing,12 mins 28 secs,2024-03-09,09:33 AM,Population reach there apply behavior enough this like.,CUST2650,3.0,48 mins 24 secs,,0 mins 0 secs,2.0,0.0,,0.0,Completed,Inquiry,North America,Dissatisfied,Sales,
2651.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Luis Gutierrez,+1 808,,Outgoing,4 mins 32 secs,,05:46 AM,Support democratic gun be she fish suffer.,CUST2651,2.0,6 mins 44 secs,0.0,0 mins 0 secs,,1.0,1.0,1.0,Completed,Feedback,,Neutral,Sales,No
2652.0,FB002,Mumbai,Ankur Garde,+918888800002,,+380,,,4 mins 20 secs,,12:05 PM,Own heavy attention need us run than create.,CUST2652,0.0,0 mins 0 secs,,3 mins 31 secs,0.0,2.0,0.0,1.0,,Inquiry,North America,,Support,No
2653.0,FB003,Pune,Shubhangi,+918888800003,,,855-756-8985,Outgoing,20 mins 0 secs,2023-05-10,,,CUST2653,0.0,0 mins 0 secs,,3 mins 15 secs,0.0,0.0,1.0,0.0,,Follow-up,Australia,Dissatisfied,Sales,Yes
2654.0,FB008,New York,Steve,+918888800004,Lisa Howell,+47 79,838.739.8546x7022,Incoming,2 mins 10 secs,2021-07-31,06:59 PM,,CUST2654,,,5.0,90 mins 40 secs,0.0,2.0,2.0,3.0,Completed,Feedback,North America,Dissatisfied,,No
2655.0,,Mumbai,Ankur Garde,+918888800002,Jessica Thomas,+966,,Incoming,2 mins 24 secs,2021-09-21,05:53 PM,Challenge turn there movement real.,CUST2655,,0 mins 0 secs,2.0,28 mins 48 secs,2.0,,1.0,1.0,Failed,Sales,,,Support,No
2656.0,FB003,Pune,,+918888800003,Dennis Williams,+382,001-577-569-2847x15422,,13 mins 53 secs,2024-07-01,11:19 PM,Easy push day yeah.,CUST2656,3.0,18 mins 150 secs,,,1.0,,,2.0,,Support,,,,No
2657.0,FB008,,,+918888800004,,+1 264,+1-519-830-3239x26618,Incoming,16 mins 26 secs,2023-03-08,07:10 AM,From so but else short arm despite decide.,CUST2657,2.0,14 mins 68 secs,1.0,17 mins 9 secs,0.0,0.0,2.0,,Failed,Support,Australia,Neutral,Support,Yes
2658.0,,Pune,Shubhangi,+918888800003,,+262 639,,,7 mins 17 secs,2024-05-12,04:14 PM,Hair mouth act so speak trouble.,CUST2658,,16 mins 84 secs,,42 mins 81 secs,2.0,,,4.0,Failed,Inquiry,,Neutral,Sales,Yes
2659.0,,New York,Rachel,+918888800005,,+599 3,217.636.0694x65154,Outgoing,10 mins 10 secs,,02:57 PM,Small close task enough.,,2.0,,1.0,19 mins 18 secs,0.0,2.0,1.0,,Failed,,Europe,,Sales,No
2660.0,,New York,Steve,+918888800004,Brenda Gonzalez,,,,8 mins 3 secs,2020-10-24,02:54 PM,Professional administration our edge necessary class middle.,,,15 mins 5 secs,2.0,16 mins 78 secs,1.0,2.0,3.0,4.0,Completed,,Asia,,Support,Yes
2661.0,FB015,New York,Rachel,+918888800005,Matthew Cooke,,,Outgoing,15 mins 22 secs,2022-05-09,08:02 AM,Today board ahead outside.,CUST2661,0.0,0 mins 0 secs,1.0,20 mins 5 secs,,0.0,0.0,,Failed,Inquiry,Africa,,Sales,No
2662.0,FB002,Mumbai,Ankur Garde,+918888800002,Kimberly Smith,+678,,Outgoing,3 mins 31 secs,2021-11-29,06:22 AM,Way foreign into so American discover.,CUST2662,1.0,18 mins 46 secs,5.0,55 mins 265 secs,1.0,0.0,4.0,2.0,Busy,Feedback,Australia,Dissatisfied,Support,Yes
2663.0,FB008,New York,Steve,+918888800004,,,+1-944-664-2147x639,Outgoing,14 mins 17 secs,2021-12-20,05:49 PM,,CUST2663,2.0,18 mins 106 secs,0.0,0 mins 0 secs,2.0,0.0,0.0,2.0,,Follow-up,Asia,Neutral,Support,Yes
2664.0,FB003,,Shubhangi,+918888800003,Nicholas Allen,+265,,Outgoing,2 mins 5 secs,2022-06-02,05:08 PM,Range letter prepare expert last trouble east.,CUST2664,5.0,100 mins 105 secs,1.0,17 mins 58 secs,0.0,,2.0,4.0,Failed,Inquiry,Asia,,Sales,No
2665.0,FB008,New York,Steve,+918888800004,,+249,8846210015,Incoming,,2022-09-25,02:59 AM,Whom improve why professor woman ahead.,CUST2665,2.0,,4.0,,2.0,0.0,,3.0,Completed,Follow-up,North America,,Support,No
2666.0,FB008,New York,Steve,+918888800004,Gary Weaver,+357,,Outgoing,19 mins 4 secs,2021-10-28,06:52 AM,Use possible art economic test provide partner.,CUST2666,,12 mins 38 secs,0.0,0 mins 0 secs,1.0,1.0,1.0,0.0,Busy,Support,,Satisfied,Support,Yes
2667.0,FB015,New York,Rachel,+918888800005,Michael Cervantes,+47 79,+1-939-410-7472x7859,Incoming,,2024-06-21,,Should able such bar truth whole.,CUST2667,1.0,13 mins 31 secs,1.0,13 mins 54 secs,1.0,0.0,,,Busy,,Australia,Satisfied,Sales,
2668.0,FB003,Pune,Shubhangi,+918888800003,Maria Roach,,,Incoming,9 mins 2 secs,2023-05-02,11:47 PM,Allow sense relate.,CUST2668,,13 mins 34 secs,4.0,4 mins 52 secs,0.0,2.0,2.0,3.0,Busy,Follow-up,Europe,Dissatisfied,,
2669.0,FB002,Mumbai,,+918888800002,,+254,350.793.6825x957,Incoming,7 mins 16 secs,2023-01-18,11:03 AM,Produce movement never able democratic argue.,CUST2669,3.0,45 mins 99 secs,1.0,,2.0,,4.0,0.0,Completed,Support,Africa,Satisfied,Support,No
,FB002,Mumbai,Ankur Garde,,Rachael Mclean,+599 3,678-652-2916,Outgoing,,2021-12-31,09:42 PM,Resource child myself human central focus standard during.,CUST2670,1.0,19 mins 53 secs,3.0,3 mins 3 secs,0.0,2.0,1.0,3.0,Completed,,,Satisfied,Support,
2671.0,,New York,Steve,,Christopher Hawkins,+599 7,+1-470-467-2407x52060,Outgoing,20 mins 18 secs,2020-09-21,01:19 AM,Enjoy person character.,CUST2671,2.0,,5.0,75 mins 190 secs,,,2.0,,Busy,Feedback,North America,Dissatisfied,,Yes
2672.0,,Mumbai,Ankur Garde,,Wanda Carlson,,298.592.9025x7633,Outgoing,11 mins 35 secs,2020-11-11,09:56 PM,American study rock third example.,CUST2672,0.0,0 mins 0 secs,5.0,100 mins 15 secs,,0.0,3.0,2.0,Failed,Support,,,Support,No
2673.0,FB015,New York,,+918888800005,Christine Cuevas,+993,851.823.6566x9868,Outgoing,16 mins 30 secs,,,Box no shoulder lawyer.,CUST2673,,,3.0,6 mins 90 secs,0.0,0.0,4.0,2.0,No Answer,Sales,North America,,Sales,No
2674.0,FB015,New York,Rachel,,Barbara Miller,+248,483-524-2139x084,Outgoing,20 mins 1 secs,2021-10-03,05:05 PM,Trip general woman girl.,CUST2674,2.0,16 mins 112 secs,3.0,,1.0,,4.0,1.0,No Answer,Support,Africa,Neutral,Sales,No
,FB001,Nagpur,,+918888800001,Jimmy Hall,+1,373.910.3468x0172,Incoming,15 mins 19 secs,2021-07-03,11:39 AM,,CUST2675,,42 mins 30 secs,1.0,16 mins 8 secs,2.0,0.0,3.0,1.0,Completed,Follow-up,Africa,Dissatisfied,Sales,No
2676.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+230,2594096135,Incoming,,2024-04-21,03:07 AM,Phone think politics impact serve either.,CUST2676,0.0,,1.0,9 mins 13 secs,2.0,1.0,0.0,,,,,Neutral,,
2677.0,FB015,New York,Rachel,+918888800005,Rachael Gutierrez,,+1-652-666-3161x20741,,19 mins 32 secs,2020-12-09,05:30 PM,Threat field data indeed.,CUST2677,4.0,72 mins 144 secs,2.0,8 mins 58 secs,1.0,2.0,4.0,2.0,Completed,Sales,Africa,Dissatisfied,Sales,No
2678.0,FB003,Pune,Shubhangi,+918888800003,,+224,+1-801-610-1942x434,Outgoing,19 mins 9 secs,2020-09-18,,,CUST2678,5.0,70 mins 285 secs,2.0,6 mins 98 secs,1.0,2.0,7.0,0.0,No Answer,Feedback,Africa,Neutral,Sales,No
2679.0,FB003,,,+918888800003,,+979,583-977-1413,Incoming,1 mins 38 secs,2021-06-07,,,CUST2679,,12 mins 57 secs,1.0,18 mins 12 secs,1.0,,2.0,2.0,Completed,,Australia,Dissatisfied,,Yes
2680.0,,Nagpur,Aniruddha Kalbande,+918888800001,Jasmine Thomas,+882,(436)845-8180,Outgoing,14 mins 39 secs,2021-10-20,02:17 PM,Design class true.,CUST2680,,20 mins 40 secs,4.0,16 mins 68 secs,1.0,2.0,3.0,6.0,Busy,Support,Europe,Dissatisfied,Sales,No
2681.0,FB001,Nagpur,,+918888800001,Jesse Miller,+84,,Incoming,5 mins 41 secs,,02:09 PM,Coach produce follow health manage hundred.,CUST2681,,12 mins 18 secs,5.0,5 mins 190 secs,0.0,,6.0,1.0,,,Australia,Neutral,,No
2682.0,,Pune,,+918888800003,Charles Smith,,225-802-8077,Outgoing,7 mins 24 secs,2022-02-13,06:07 PM,Expect watch sell.,CUST2682,,0 mins 0 secs,0.0,0 mins 0 secs,2.0,2.0,0.0,0.0,,Feedback,North America,Dissatisfied,Sales,Yes
2683.0,FB008,New York,Steve,+918888800004,Ryan Owens,+881 2,3646476401,,7 mins 30 secs,,10:03 AM,,CUST2683,5.0,35 mins 290 secs,4.0,56 mins 232 secs,,2.0,1.0,8.0,No Answer,Inquiry,Asia,Dissatisfied,Support,No
2684.0,,New York,Rachel,+918888800005,,+1 808,,Incoming,6 mins 14 secs,,06:23 AM,Character generation six more worry.,CUST2684,0.0,0 mins 0 secs,,30 mins 156 secs,2.0,0.0,,3.0,,Follow-up,Europe,Satisfied,Sales,Yes
,FB002,,,+918888800002,Carlos Villarreal,+375,,Incoming,15 mins 45 secs,2022-11-20,03:00 PM,,CUST2685,5.0,85 mins 140 secs,3.0,12 mins 162 secs,,2.0,6.0,2.0,Completed,Sales,Africa,Satisfied,,Yes
,FB015,New York,Rachel,+918888800005,Todd Arnold,+372,+1-642-575-8763x8501,Outgoing,14 mins 16 secs,2021-02-26,,,CUST2686,2.0,24 mins 18 secs,3.0,39 mins 3 secs,2.0,2.0,0.0,5.0,No Answer,Inquiry,Asia,Neutral,Sales,
,FB001,Nagpur,,,Katelyn Roman,,242-307-6507,Outgoing,9 mins 56 secs,2020-09-16,07:10 AM,,CUST2687,3.0,3 mins 27 secs,3.0,,,1.0,2.0,4.0,No Answer,Sales,,Satisfied,Sales,
2688.0,FB008,New York,Steve,+918888800004,Taylor Townsend,+379,,Outgoing,10 mins 49 secs,2024-01-26,07:30 AM,Tell official condition similar charge note.,CUST2688,2.0,,5.0,85 mins 260 secs,1.0,1.0,2.0,5.0,Busy,Sales,Africa,Dissatisfied,Support,
2689.0,FB008,New York,,+918888800004,,+882 13,305.696.0531x5553,Incoming,4 mins 16 secs,2023-01-13,10:57 PM,Military coach over really figure radio education.,CUST2689,2.0,32 mins 20 secs,,40 mins 140 secs,,1.0,,,,,,Dissatisfied,Support,Yes
2690.0,FB002,Mumbai,Ankur Garde,+918888800002,Amber Schaefer,+242,724-412-9894x5497,Outgoing,6 mins 12 secs,2022-03-15,06:17 AM,Sit walk public forget old.,CUST2690,,60 mins 265 secs,3.0,,2.0,0.0,2.0,6.0,Completed,Support,North America,Neutral,Support,Yes
,FB003,Pune,Shubhangi,+918888800003,Michael Khan,,001-207-378-4710x50215,Incoming,5 mins 11 secs,2023-04-30,04:04 PM,Outside art finally with.,CUST2691,0.0,0 mins 0 secs,,,0.0,2.0,1.0,0.0,Busy,Sales,Africa,,Sales,Yes
2692.0,FB008,New York,Steve,+918888800004,Brian Sexton,+1 808,001-310-856-9926x360,Incoming,10 mins 15 secs,2024-05-04,02:32 AM,,CUST2692,5.0,,1.0,,0.0,1.0,5.0,1.0,Failed,Inquiry,,,Support,No
2693.0,FB003,Pune,Shubhangi,+918888800003,James Holt,+509,9098386864,Incoming,2 mins 40 secs,2020-11-16,,Ok another usually save seek expert.,,2.0,18 mins 24 secs,0.0,0 mins 0 secs,1.0,1.0,,,Failed,Feedback,,Neutral,,No
2694.0,,New York,Rachel,+918888800005,Patrick Johnson,+593,001-264-247-0956x76796,Outgoing,1 mins 6 secs,,01:25 PM,Boy less morning.,CUST2694,5.0,35 mins 165 secs,4.0,56 mins 112 secs,,,,6.0,,Follow-up,Australia,Neutral,Sales,No
2695.0,FB003,Pune,Shubhangi,+918888800003,Carol Bowers,+378,328.905.5099x73891,Outgoing,19 mins 51 secs,2021-09-13,05:03 PM,Myself north difference.,,4.0,36 mins 156 secs,1.0,13 mins 4 secs,,0.0,4.0,1.0,Completed,Sales,,Neutral,Sales,
2696.0,FB002,Mumbai,,,Kevin Hester,+374,,Outgoing,,2022-01-30,10:40 AM,Commercial across glass worry.,,1.0,1 mins 33 secs,1.0,2 mins 41 secs,1.0,2.0,,1.0,,Sales,,Satisfied,,No
2697.0,FB003,,Shubhangi,+918888800003,Troy Thomas,,413.243.6058x391,,10 mins 58 secs,,03:24 PM,,CUST2697,1.0,18 mins 33 secs,4.0,28 mins 104 secs,0.0,,,2.0,,,Africa,Neutral,,Yes
2698.0,,,Ankur Garde,+918888800002,Kathleen Castillo,+253,,Incoming,17 mins 25 secs,2023-10-01,,Half amount full employee official.,CUST2698,,5 mins 155 secs,,0 mins 0 secs,1.0,1.0,1.0,4.0,Failed,,,Neutral,,No
2699.0,FB002,Mumbai,Ankur Garde,,Rachel Sutton,+1 869,724.827.5733x35526,Incoming,,2023-12-31,,Expect worker even fund career suddenly.,CUST2699,2.0,,1.0,,0.0,2.0,3.0,,No Answer,,Asia,Satisfied,Support,Yes
2700.0,FB002,Mumbai,,+918888800002,Frank Johnson,,916-659-6646x0653,Outgoing,18 mins 55 secs,2024-02-06,01:14 PM,Manager research past wear.,,2.0,4 mins 100 secs,2.0,12 mins 60 secs,2.0,,,4.0,,Sales,Australia,Neutral,Support,No
2701.0,FB015,New York,Rachel,+918888800005,,+253,(697)819-2946x0345,Outgoing,,2022-02-13,04:33 PM,Parent court responsibility institution.,CUST2701,5.0,60 mins 110 secs,2.0,32 mins 10 secs,,,4.0,3.0,Failed,Follow-up,Africa,Satisfied,,No
2702.0,FB008,New York,,+918888800004,,+599 3,738-976-7493x278,Incoming,4 mins 53 secs,,08:52 AM,Fill magazine nation picture institution it.,,5.0,95 mins 230 secs,2.0,24 mins 68 secs,0.0,0.0,6.0,1.0,Failed,Feedback,Asia,Dissatisfied,Support,
,FB002,Mumbai,Ankur Garde,,,+248,419-763-9862x5621,Incoming,7 mins 43 secs,2023-02-08,06:49 AM,Note keep skin travel phone face however.,,,27 mins 24 secs,,0 mins 0 secs,0.0,2.0,,2.0,No Answer,Support,Australia,Dissatisfied,Support,
2704.0,FB001,,Aniruddha Kalbande,,Steven Tanner,+265,723.527.0974x7417,Incoming,12 mins 44 secs,2021-09-25,06:31 AM,Or son scene executive.,CUST2704,1.0,,3.0,39 mins 174 secs,2.0,1.0,,0.0,Busy,Follow-up,North America,,Sales,No
,,Nagpur,Aniruddha Kalbande,+918888800001,Ian Long,+886,822.374.2095,Incoming,,2022-04-02,01:34 AM,Seat visit long body occur only.,,1.0,1 mins 40 secs,2.0,,2.0,0.0,,0.0,Failed,Follow-up,Australia,Dissatisfied,Sales,
2706.0,,,Ankur Garde,,Stacy Brown,+683,270-228-1129,,20 mins 4 secs,2023-03-16,09:33 AM,During blue far site economy on.,,4.0,64 mins 200 secs,5.0,45 mins 80 secs,2.0,1.0,5.0,4.0,Busy,,Australia,,,No
2707.0,,,Steve,+918888800004,Mr. Ryan Strickland II,+237,001-533-871-4887,Incoming,6 mins 54 secs,,,Seven cell themselves begin participant staff standard.,,,19 mins 44 secs,,,2.0,2.0,0.0,,Failed,Sales,North America,Neutral,Support,No
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+54,328-716-6295x9538,,19 mins 40 secs,2023-09-28,04:36 AM,Present structure friend discussion.,CUST2708,3.0,9 mins 27 secs,1.0,20 mins 27 secs,1.0,,3.0,,Completed,Support,Africa,Neutral,Sales,
,FB015,,Rachel,,Trevor Kaufman,+691,+1-580-658-2088x30933,Outgoing,1 mins 1 secs,2022-04-13,04:19 AM,Money team south prevent.,CUST2709,5.0,30 mins 20 secs,5.0,,1.0,0.0,2.0,,No Answer,Support,Australia,Dissatisfied,,No
2710.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Elizabeth Gonzalez,+677,974-789-8017x5276,Outgoing,9 mins 33 secs,2023-03-10,10:40 AM,Development draw note stuff.,CUST2710,3.0,,,,0.0,2.0,6.0,1.0,,Support,Asia,Dissatisfied,Sales,Yes
2711.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+47 79,(317)478-2717,Outgoing,14 mins 31 secs,,12:55 PM,These natural vote provide.,CUST2711,4.0,68 mins 232 secs,3.0,18 mins 96 secs,,,4.0,,Failed,Follow-up,,,Sales,No
2712.0,FB003,Pune,,+918888800003,Cody Rich,+882 16,668.526.1935x664,Incoming,12 mins 38 secs,2020-10-28,10:31 PM,Down those firm.,CUST2712,4.0,20 mins 100 secs,4.0,16 mins 188 secs,0.0,2.0,2.0,,Busy,Sales,Africa,,Sales,
2713.0,,Pune,Shubhangi,+918888800003,Brittany Mendez,,931-560-0020x9989,Incoming,,2023-03-23,12:00 PM,,,2.0,,,39 mins 39 secs,0.0,0.0,,5.0,No Answer,Follow-up,North America,Satisfied,Sales,
2714.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+504,(866)829-5399,Outgoing,2 mins 57 secs,2022-08-17,09:47 AM,Artist cold campaign explain accept safe.,CUST2714,5.0,15 mins 190 secs,0.0,0 mins 0 secs,1.0,0.0,5.0,,Failed,Feedback,,Neutral,Sales,No
2715.0,,Mumbai,Ankur Garde,,Todd James,+61 89162,+1-960-413-6998x1933,Outgoing,15 mins 31 secs,2023-12-30,01:50 PM,,CUST2715,,10 mins 220 secs,3.0,60 mins 174 secs,1.0,,3.0,5.0,,,Asia,Neutral,Support,No
2716.0,,New York,Rachel,+918888800005,David Smith,+7 7,(381)932-5759x293,Incoming,10 mins 41 secs,2023-05-02,11:10 AM,You his cultural player chance six.,CUST2716,4.0,32 mins 168 secs,1.0,9 mins 47 secs,0.0,,0.0,5.0,,Feedback,Australia,Neutral,Sales,Yes
2717.0,FB002,Mumbai,,+918888800002,Amanda Taylor,,,Outgoing,7 mins 2 secs,2021-11-27,,Interview account side success focus require.,,5.0,100 mins 20 secs,1.0,,2.0,1.0,3.0,3.0,Completed,Inquiry,Africa,Neutral,Support,Yes
,,Nagpur,Aniruddha Kalbande,+918888800001,,+359,9022324910,Incoming,5 mins 3 secs,2023-06-12,11:37 PM,,,,36 mins 72 secs,5.0,85 mins 175 secs,,0.0,8.0,1.0,Completed,Feedback,Australia,,Sales,No
